title,year,genre,director,rating,synopsis,poster
Inception,2010,Sci-Fi,Christopher Nolan,8.8,A thief who steals corporate secrets through dream-sharing technology is given a chance to have his criminal history erased.,assets/img/inception.jpg
The Godfather,1972,Drama,Francis Ford Coppola,9.2,The aging patriarch of an organized crime dynasty transfers control of his empire to his reluctant son.,assets/img/the-godfather.jpg
Get Out,2017,Horror,Jordan Peele,7.7,A young African-American visits his white girlfriend's family estate and uncovers a disturbing secret.,assets/img/get-out.jpg
The Grand Budapest Hotel,2014,Comedy,Wes Anderson,8.1,The adventures of a legendary concierge at a famous European hotel and the lobby boy who becomes his trusted friend.,assets/img/grand-budapest-hotel.jpg
Interstellar,2014,Sci-Fi,Christopher Nolan,8.6,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,assets/img/interstellar.jpg
Parasite,2019,Drama,Bong Joon-ho,8.5,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,assets/img/parasite.jpg
The Conjuring,2013,Horror,James Wan,7.5,Paranormal investigators help a family terrorized by a dark presence in their farmhouse.,assets/img/the-conjuring.jpg
Superbad,2007,Comedy,Greg Mottola,7.6,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,assets/img/superbad.jpg
Dune,2021,Sci-Fi,Denis Villeneuve,8.0,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset on a desert planet.,assets/img/dune.jpg
The Shawshank Redemption,1994,Drama,Frank Darabont,9.3,Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.,assets/img/shawshank-redemption.jpg
Hereditary,2018,Horror,Ari Aster,7.3,A grieving family is haunted by a disturbing ancestral secret after the death of their secretive grandmother.,assets/img/hereditary.jpg
The Hangover,2009,Comedy,Todd Phillips,7.7,Three buddies wake up from a bachelor party in Las Vegas with no memory of the night before and their friend missing.,assets/img/the-hangover.jpg
Blade Runner 2049,2017,Sci-Fi,Denis Villeneuve,8.0,A young blade runner discovers a secret that leads him to track down former blade runner Rick Deckard.,assets/img/blade-runner-2049.jpg
Forrest Gump,1994,Drama,Robert Zemeckis,8.8,The presidencies of Kennedy and Johnson through the eyes of an Alabama man with an IQ of 75.,assets/img/forrest-gump.jpg
A Quiet Place,2018,Horror,John Krasinski,7.5,A family must live in silence to avoid mysterious creatures that hunt by sound.,assets/img/a-quiet-place.jpg
